feature_name,seed_phrase,weight
Service,reception staff,0.4179
Service,found reception staff,0.5525
Service,reception staff generally,0.3804
Price,excellent value,0.7932
Service,incompetent reception staff,-0.0084
Comfort,hotel room,0.2882
Location,minute walk,0.2790
Service,service good,0.5879
Price,good value,0.7073
Service,front desk tried,-0.0627
Service,front desk,0.2169
Comfort,bed rooms,0.2622
Comfort,living room,0.2970
Service,service par,0.1352
Comfort,room cleaned,0.2037
Location,subway station,0.2144
Location,convenient location,0.4498
Service,good staff desk,0.4666
Service,staff desk,0.4427
Comfort,laundry room,0.2686
Service,desk staff,0.3748
Service,front desk staff,0.3816
Service,desk staff speaks,0.2929
Comfort,room massage,0.4363
Location,location convenient,0.3315
Location,great location convenient,0.6960
Comfort,hotel rooms,0.3198
Comfort,room card,0.3021
Location,good location convenient,0.6825
Service,maid service,0.3833
Service,service helpful,0.5474
Location,short walk,0.3344
Comfort,room free,0.6113
Comfort,computer room,0.3401
Comfort,room free internet,0.6433
Service,staff helpful staff,0.7105
Service,staff helpful,0.6102
Service,staff helpful would,0.6805
Price,exchange rate,0.1534
Location,great location,0.7065
Location,location close,0.5316
Comfort,room computer,0.4450
Service,reception staff friendly,0.6424
Service,staff friendly,0.6698
Comfort,comfortable bed,0.7496
Price,value money,0.6633
Comfort,rooms beautiful,0.7700
Location,hotel location,0.4576
Location,good location,0.6010
Comfort,rooms full,0.4692
Service,desk staff speak,0.2243
Service,staff speak good,0.5814
Service,staff speak,0.2326
Location,hutong area,0.3310
Price,hotel excellent value,0.7971
Price,excellent value money,0.8068
Comfort,rooms clean,0.6169
Service,staff helpful friendly,0.7847
Service,enough staff helpful,0.6468
Service,staff helpful asked,0.4426
Comfort,room comfortable bed,0.7741
Service,service staff,0.4824
Service,front desk stay,0.4970
Service,reception staff speak,0.3709
Comfort,front room,0.2828
Service,front desk helpful,0.5219
Service,front desk also,0.3291
Location,walk minutes,0.1719
Comfort,rooms nice,0.5894
Comfort,room floor,0.2457
Service,shower reception staff,0.1833
Service,reception staff polite,0.5128
Comfort,rooms simple,0.4313
Location,location perfect walk,0.6292
Service,service helpful staff,0.8199
Service,staff person,0.2603
Service,friendly staff,0.7559
Service,staff best helpful,0.8715
Location,train station,0.2380
Comfort,complaint beds,-0.5137
Comfort,bed room,0.2725
Comfort,bed room room,0.4331
Comfort,room room basement,0.1821
Comfort,room room,0.2303
Service,staff member,0.2523
Service,reception desk friendly,0.6500
Service,reception desk,0.2832
Comfort,room paid room,-0.2129
Comfort,room spacious room,0.5450
Comfort,room enormous bed,0.5294
Service,staff front desk,0.4705
Service,friendly staff front,0.7494
Service,staff front,0.4544
Service,front desk nice,0.5701
Service,tour desk,0.5139
Comfort,building rooms,0.3366
Comfort,room room nice,0.6342
Comfort,rooms building,0.3820
Location,garden area,0.5302
Comfort,rooms hotel,0.2586
Comfort,bed room would,0.1490
Comfort,extra bed room,0.4427
Comfort,clean rooms,0.6754
Comfort,beds hard,-0.1163
Comfort,rooms clean beds,0.7080
Comfort,air conditioning,0.1341
Service,front desk personnel,0.3878
Comfort,room air condition,-0.1747
Comfort,room air,0.0890
Comfort,room executive,0.3069
Comfort,standard room,0.2805
Comfort,room would,0.1918
Comfort,double beds,0.2516
Comfort,rooms would,0.2475
Comfort,double bed,0.2027
Comfort,room single beds,0.1714
Price,rate total cost,-0.1651
Service,front desk manager,0.1349
Service,desk manager,0.1469
Comfort,room double beds,0.2996
Service,front desk help,0.4005
Comfort,room key,0.1474
Service,restaurant staff helpful,0.6638
Price,price price,0.3597
Comfort,room large,0.4168
Location,location hotel,0.4637
Location,location main,0.5473
Location,location good,0.5524
Service,better service,0.4839
Service,front desk told,-0.0087
Location,hotel good location,0.6036
Service,reception staff rude,-0.4665
Service,staff rude,-0.4560
Price,deal price,0.5604
Price,deal price ok,0.4622
Comfort,room executive room,0.3170
Service,service terrible staff,-0.7100
Service,level service,0.2679
Comfort,room building,0.1267
Service,staff helpful helpful,0.8860
Service,room service,0.2327
Comfort,room service,0.2327
Service,terms service staff,0.3296
Location,shopping area,0.2931
Location,railway station,0.2319
Comfort,bed firm comfortable,0.5582
Service,staff service,0.4271
Service,staff service location,0.3369
Service,hotel staff,0.4156
Service,hotel staff service,0.5897
Service,stick front desk,0.4315
Service,visit front desk,-0.0471
Service,front desk extremely,0.5763
Service,staff reception friendly,0.6815
Service,staff reception,0.4642
Comfort,room room nicely,0.6322
Comfort,room nicely,0.6249
Comfort,twin beds,0.1746
Comfort,rooms view,0.1820
Comfort,floor room,0.2173
Comfort,room door,0.0489
Comfort,room clean bed,0.6973
Comfort,room located room,0.3486
Comfort,room fine,0.3299
Service,speak front desk,-0.1422
Location,location convenient walking,0.5815
Location,public areas,0.3878
Comfort,room spacious,0.4489
Location,main train station,0.1498
Service,front desk messed,-0.1657
Service,front desk fix,-0.0135
Service,front desk clerk,0.1671
Service,desk lady rude,-0.7099
Comfort,room away,0.1715
Comfort,room twin beds,0.2247
Service,city front desk,0.4339
Comfort,information room,0.0475
Location,central location,0.4763
Comfort,rooms small,0.2907
Location,bar area,0.4314
Service,reception staff helpful,0.6072
Comfort,shower room,0.2432
Comfort,room toilet room,0.0195
Service,call front desk,0.0977
Service,helpful staff,0.7728
Comfort,vip room,0.5694
Service,friendly helpful staff,0.8336
Service,staff wonderful,0.7191
Comfort,rooms different,0.2211
Location,distance forbidden,0.0091
Location,distance forbidden city,0.0189
Location,metro station,0.2986
Service,staff friendly helpful,0.7735
Comfort,rooms single room,0.2785
Comfort,breakfast room,0.2807
Comfort,room small,0.2442
Location,walk hotel,0.2974
Service,staff could,0.3448
Service,staff could enough,0.6166
Location,area hotel,0.3558
Location,area hotel located,0.4882
Comfort,bed best sleep,0.9576
Service,staff spoke,0.4138
Comfort,little room,0.1753
Service,staff helpful rooms,0.7367
Location,location great,0.6684
Location,distance tourist,0.6298
Comfort,room clean,0.5765
Comfort,executive room,0.3154
Comfort,small room,0.1877
Comfort,room spacious enough,0.4369
Service,excellent helpful,0.8237
Comfort,room booked,0.1341
Comfort,four poster bed,0.5377
Comfort,poster bed,0.5326
Service,service facilities,0.2958
Price,poor value money,-0.1694
Price,poor value,-0.1606
Comfort,deluxe room,0.2808
Comfort,room think,0.2494
Comfort,room two,0.2037
Service,desk staff also,0.5803
Service,staff also,0.4795
Service,desk personnel,0.2662
Price,additional cost,0.1646
Comfort,room breakfast,0.3224
Comfort,room also,0.2712
Service,staff hotel,0.4816
Service,staff spoke english,0.6421
Comfort,heating room,0.0648
Comfort,cold heating room,-0.4507
Comfort,room breakfast room,0.3953
Service,staff soooo helpful,0.5251
Comfort,room make room,0.6571
Service,staff excellent helpful,0.7889
Comfort,beds bit,0.2370
Service,staff helpful booked,0.6002
Price,price unbelievable value,0.7085
Service,helpfulness staff,0.5802
Service,staff awesome helpful,0.8424
Service,desk staff helpful,0.5654
Service,staff wonderful helpful,0.7841
Comfort,bed mattress,0.2372
Service,staff helpful want,0.6556
Service,service full service,0.5534
Price,great value,0.8061
Location,hotels area,0.3288
Comfort,room locker room,0.3041
Service,staff friendly services,0.8006
Service,staff members,0.3910
